# time luminosity u_luminosity radius u_radius
-6.486936809611506760e+00 3.549123345040207899e+37 5.955979655802999543e+36 1.009355534126764745e+06 2.474887210229185541e+02
-6.467904969031224027e+00 3.659257034200631744e+37 6.016917193139766873e+36 1.009381746193617233e+06 2.491060889601658062e+02
-6.448084798554191366e+00 3.776025463846546508e+37 6.093607168717799156e+36 1.009408875019760570e+06 2.507538659808515433e+02
-6.428449952451046556e+00 3.887687143013080743e+37 6.160019976481512037e+36 1.009435561214132933e+06 2.523640893136062573e+02
-6.408898906927788630e+00 4.005260553878184012e+37 6.193519019088070978e+36 1.009461935282453895e+06 2.539573795053756555e+02
-6.389424142194911838e+00 4.119777146531363053e+37 6.265528077758614135e+36 1.009487999216052005e+06 2.555510967750470570e+02
-6.370011743303621188e+00 4.239753889267306090e+37 6.281626229107818069e+36 1.009513765848250827e+06 2.571562714212740275e+02
-6.350685574754606932e+00 4.357935288920674745e+37 6.323800280837539185e+36 1.009539196546698804e+06 2.587855427687368319e+02
-6.331432555016363040e+00 4.473850170845516337e+37 6.362967893056382029e+36 1.009564309330605203e+06 2.604468782669607094e+02
-6.312192307435907423e+00 4.592739034304648962e+37 6.378195645992409885e+36 1.009589170567516121e+06 2.621532275132048539e+02
-6.292966825189068913e+00 4.711967764850671623e+37 6.376836597400487293e+36 1.009613780507683987e+06 2.639115892694446188e+02
-6.273696140066022053e+00 4.832869041849138560e+37 6.341462946976276027e+36 1.009638219446430681e+06 2.657235078090055822e+02
-6.254389503825223073e+00 4.954408818911313679e+37 6.290417299432419537e+36 1.009662465815069620e+06 2.675905199252795796e+02
-6.234987201605690643e+00 5.074967558933247999e+37 6.273586308627177727e+36 1.009686596385206911e+06 2.695207515768842654e+02
-6.215559990931069478e+00 5.195991863118352004e+37 6.237142192299610307e+36 1.009710515483034309e+06 2.715126253923588138e+02
-6.196109205891843885e+00 5.317057553594494668e+37 6.186263870145862225e+36 1.009734210820235428e+06 2.735710838814477484e+02
-6.176585098786745220e+00 5.437694486262237505e+37 6.137776817254080524e+36 1.009757749723145040e+06 2.756984530896735350e+02
-6.156995532073779032e+00 5.558003750761660233e+37 6.084913201320506025e+36 1.009781121562325628e+06 2.778926262773822486e+02
-6.137289765727473423e+00 5.678350068498941697e+37 6.020309190348154582e+36 1.009804373021306237e+06 2.801574612439474095e+02
-6.117479869193630293e+00 5.798409444905407808e+37 5.947622279616716772e+36 1.009827492733284016e+06 2.824896811449106053e+02
-6.097513041051570326e+00 5.918238428932537332e+37 5.867661641156103288e+36 1.009850525970758172e+06 2.848973730936350535e+02
-6.077403790754033253e+00 6.037586768515293228e+37 5.780839342650668576e+36 1.009873452071790933e+06 2.873728020401259755e+02
-6.057096252246992663e+00 6.156667153587520434e+37 5.688244564746502686e+36 1.009896335153680062e+06 2.899284626357145953e+02
-6.036605807166779414e+00 6.275162709963858815e+37 5.589651810556761789e+36 1.009919133381936816e+06 2.925649931767595717e+02
-6.015991002233931795e+00 6.392618667020576834e+37 5.486276309474670381e+36 1.009941779004858574e+06 2.952770299869845871e+02
-5.995204504841240123e+00 6.509127117519383537e+37 5.378186010855874623e+36 1.009964313480264624e+06 2.980635779020252585e+02
-5.974253625987330452e+00 6.624509678730804013e+37 5.266221459237258096e+36 1.009986719860507990e+06 3.009280124887375791e+02
-5.953087356203468516e+00 6.738912175383788877e+37 5.150847430385357551e+36 1.010009045403110445e+06 3.038799520991390182e+02
-5.931714551872573793e+00 6.852085657454957409e+37 5.032451839415919191e+36 1.010031258558820700e+06 3.069190201010512169e+02
-5.910079357854556292e+00 6.964261743901986232e+37 4.911956881371429345e+36 1.010053419052582583e+06 3.100513910381462779e+02
-5.888190589117584750e+00 7.075122508572728219e+37 4.789129093186704398e+36 1.010075486511463183e+06 3.132795670214323991e+02
-5.865986350574530661e+00 7.184958248877058948e+37 4.665702666991972663e+36 1.010097523365610512e+06 3.166163211249203187e+02
-5.843517843692097813e+00 7.293228226762467115e+37 4.541273179570748374e+36 1.010119444111585966e+06 3.200551018535281287e+02
-5.820819013082655147e+00 7.399839686466531577e+37 4.418926324398082165e+36 1.010141224432443269e+06 3.235917109381530281e+02
-5.797832740790909156e+00 7.504814749684896808e+37 4.298618116072933531e+36 1.010162891090289806e+06 3.272386516556932179e+02
-5.774557656201068312e+00 7.607983095691330315e+37 4.180212960401413910e+36 1.010184424690592568e+06 3.309935370219557171e+02
-5.750929229601752013e+00 7.709670538816774701e+37 4.065384920118481219e+36 1.010205890531842597e+06 3.348620350053151355e+02
-5.726943808607757092e+00 7.809432113263239530e+37 3.952386923905312582e+36 1.010227231067534885e+06 3.388518766726466538e+02
-5.702538996149087325e+00 7.907724148291159999e+37 3.844202537921626431e+36 1.010248527995902114e+06 3.429676373117020489e+02
-5.677812142937909812e+00 8.004054850850257348e+37 3.742157436088209914e+36 1.010269663879661355e+06 3.472034819932201231e+02
-5.652744621300371364e+00 8.098113052454504706e+37 3.645429103564342395e+36 1.010290613918341929e+06 3.515544710481788115e+02
-5.627263719739858061e+00 8.190301600243963504e+37 3.555721195587803262e+36 1.010311447907131282e+06 3.560395476001828570e+02
-5.601350468990858644e+00 8.280429720446685664e+37 3.472089156867648444e+36 1.010332143028963008e+06 3.606501240731517441e+02
-5.574930849950760603e+00 8.368647202347630734e+37 3.395161783328096690e+36 1.010352749566966435e+06 3.654014523570177175e+02
-5.548121574567630887e+00 8.454560457028448516e+37 3.326424779621076594e+36 1.010373167065082467e+06 3.702609925077679236e+02
-5.520884362456854433e+00 8.538160053814702680e+37 3.265330049383914887e+36 1.010393388705218676e+06 3.752465094613052088e+02
-5.493126270303037018e+00 8.619700900638186791e+37 3.212024556983274661e+36 1.010413476332398597e+06 3.803718500634263364e+02
-5.464807847747579217e+00 8.699218346845317960e+37 3.168453458634233871e+36 1.010433437366091181e+06 3.856292071452349433e+02
-5.436046533694025129e+00 8.776324653311468491e+37 3.132627829028735739e+36 1.010453165869952529e+06 3.910075527342404484e+02
-5.406750753143569455e+00 8.851157865782949236e+37 3.104186412806833643e+36 1.010472693663450074e+06 3.965046286986441828e+02
-5.376864201709395275e+00 8.923924402018727849e+37 3.083258830045676764e+36 1.010492064578010002e+06 4.021328932768417985e+02
-5.346416495012817904e+00 8.994301582344501244e+37 3.067175620877431701e+36 1.010511208548655268e+06 4.078963200246178076e+02
-5.315401470870710909e+00 9.062408818108626375e+37 3.058310288381483887e+36 1.010530131722513703e+06 4.137759043046185070e+02
-5.283740346581907943e+00 9.128355806720512872e+37 3.054111587532771482e+36 1.010548848543463624e+06 4.197785036389216202e+02
-5.251461484469473362e+00 9.192235795675353016e+37 3.053560592352036344e+36 1.010567313290328602e+06 4.259172855504431823e+02
-5.218546479503856972e+00 9.254009982638557888e+37 3.056579037761754165e+36 1.010585506904459093e+06 4.321909828178042403e+02
