# time (s)    L (erg/s)   R_phot (cm)
3.551064900720201877E+03  5.47232782486724E+34  1.00789005408048E+06
3.570964290496397552E+03  5.50503053947306E+34  1.00787725001944E+06
3.592810963865529629E+03  5.53372917866221E+34  1.00786476792290E+06
3.617152077498541530E+03  5.55776741012309E+34  1.00785237828330E+06
3.644248962803162613E+03  5.57900801723313E+34  1.00784005912386E+06
3.647266594941195308E+03  5.75898466009989E+34  1.00797704996837E+06
3.648941344697610475E+03  5.67387664213880E+34  1.00797757006290E+06
3.652274096712876599E+03  5.53227240478857E+34  1.00797623922629E+06
3.658889134082563032E+03  5.41945423840441E+34  1.00796973248157E+06
3.665746495413953198E+03  5.40291028602702E+34  1.00796187618480E+06
3.672640540271350346E+03  5.42804336255056E+34  1.00795394593730E+06
3.679951656872887725E+03  5.46891871094621E+34  1.00794588399339E+06
3.687867315809676256E+03  5.51499818769797E+34  1.00793766518605E+06
3.696850584091224391E+03  5.56228739192324E+34  1.00792897550048E+06
3.707584961025453595E+03  5.60953064957092E+34  1.00791939926569E+06
3.721706529475810385E+03  5.65743879090234E+34  1.00790795740443E+06
3.739717260847254238E+03  5.70320550169217E+34  1.00789493363312E+06
3.759470540998131582E+03  5.74195176412511E+34  1.00788226297907E+06
3.781449041204632067E+03  5.77372335270312E+34  1.00786971804921E+06
3.805888052097973286E+03  5.80063142371333E+34  1.00785727584726E+06
3.833080107687746022E+03  5.82394337628403E+34  1.00784490213748E+06
3.836107853867735230E+03  5.99913526452788E+34  1.00798295574524E+06
3.837779985792033131E+03  5.91012800078091E+34  1.00798354475126E+06
3.841107528321385871E+03  5.76388087361478E+34  1.00798225568366E+06
3.847674576208617964E+03  5.64872388717712E+34  1.00797578576650E+06
3.854108992353663780E+03  5.63136039456253E+34  1.00796838237987E+06
3.860695203369583396E+03  5.65479308156104E+34  1.00796073150392E+06
3.867648250945484051E+03  5.69466029792403E+34  1.00795295437943E+06
3.875175728605156110E+03  5.74047273382474E+34  1.00794499665321E+06
3.883628200027052571E+03  5.78780031656954E+34  1.00793664314201E+06
3.893566358694809423E+03  5.83530390230374E+34  1.00792754402552E+06
3.905997000253181341E+03  5.88302576373779E+34  1.00791712078979E+06
3.923618404216014824E+03  5.93220821829939E+34  1.00790387866580E+06
3.942786095209589803E+03  5.97492054489945E+34  1.00789111090289E+06
3.964118125408284413E+03  6.00968900087973E+34  1.00787847415758E+06
3.987833504154790717E+03  6.03890758691914E+34  1.00786594944149E+06
4.014214521561684251E+03  6.06410548936362E+34  1.00785349907681E+06
4.017150638846068432E+03  6.23540856599888E+34  1.00799028472107E+06
4.018894673324448377E+03  6.14441495694982E+34  1.00799073819055E+06
4.022365301936424657E+03  5.99988636642291E+34  1.00798903395215E+06
4.029271852874257092E+03  5.89486387884559E+34  1.00798174529168E+06
4.035224920981323521E+03  5.88384187335742E+34  1.00797470621151E+06
4.041436442140069630E+03  5.90632263924487E+34  1.00796734069148E+06
4.048093726714098466E+03  5.94419750657017E+34  1.00795974134052E+06
4.055364481747319587E+03  5.98796679321581E+34  1.00795189758227E+06
4.063580230738206410E+03  6.03378141411441E+34  1.00794360641360E+06
4.073295849690339310E+03  6.08009089335975E+34  1.00793452583970E+06
4.085214624255993385E+03  6.12664364699775E+34  1.00792430639678E+06
4.102609171352861267E+03  6.17560772457014E+34  1.00791094067234E+06
4.121499437116208355E+03  6.21874620787619E+34  1.00789808489725E+06
4.142525557766962265E+03  6.25400200278525E+34  1.00788536502988E+06
4.165896877852674152E+03  6.28378449172078E+34  1.00787276396924E+06
