# model,burst,bstart,btime,fluence,peakLum,persLum,tau,tdel,conv,t10,t25,t90,fitAlpha,fitDecay,alpha
'xrba05d',29,332863.30942436564,95.367419284302741,4.4481388252130517e+39,1.68978900555514e+38,4.7655021285754897e+35,26.323634551946451,11128.713211405033,13.583358989131296,-6.9358849826385267,-6.4632404244039208,-2.0000712534529157,1.0075084645493719,21.877556083089129,47.442040675439465
'xrba006',0,273764.66974950256,47.764850561448839,7.0037116262601421e+39,5.0186164253586374e+38,1.1731173242673599e+35,13.955463085146315,0,70.889764090511392,-4.1856271862052381,-4.1736986238393001,-3.8549628093605861,6.0091874879380587,2.6748811896401588,0.0
'xrba006',1,563331.74509841029,50.97611535852775,7.359667439456803e+39,5.0461968797379084e+38,1.19472114164085e+35,14.584582438723739,289567.43092557887,56.164969596247801,-3.9685459759784862,-3.956611585454084,-3.6619596139062196,6.3598411352781765,2.6444110617950463,165.81915865699216
'xrba006',2,873431.07161954814,51.64113569224719,7.6419845706004229e+39,5.0999299885319076e+38,1.2362433935607e+35,14.984489174919604,310098.07140487793,0.0,-4.0586570894811302,-4.0466761024435982,-3.9827775045996532,7.167974329196328,2.4349787886969976,171.18423356267149
'xrba006',3,1219729.9061907134,54.178526400821283,7.7339204738581433e+39,5.0670119246695617e+38,1.2560713551701601e+35,15.263276638849632,346299.38973114348,8.8817841970012523e-15,-4.3860969098750502,-4.3741849430371076,-4.3305077315308154,6.4782877786276041,2.640790865114595,188.98483379352899
'xrba006',4,1604907.4454367082,57.171553024323657,8.168457594579256e+39,5.0551116356307891e+38,1.2521986104082201e+35,16.15880752663136,385181.909101411,43.188654698550828,-4.6722573572769761,-4.6519058039411902,-4.2708505059126765,6.3501623862626193,2.7589486285206384,199.0035847137338
'xrba006',5,2005248.3018591476,48.318373567657545,8.3340819025658765e+39,6.2162961550822016e+38,1.3157262916876701e+35,13.406828913310791,400336.47219230072,54.15056696131451,-2.6916128101292998,-2.6796785886399448,-2.0566919464617968,3.3913258093571184,5.3788148785673808,203.02790344609124
'xrba006',6,2476260.9955467801,62.060664054006338,8.7909941722660951e+39,5.0434098097885919e+38,1.28148301057136e+35,17.430656051792454,471017.74380353163,65.811512230754261,-4.6292896247468889,-4.6173492111265659,-4.2088859626092017,5.5943193324269469,3.2638483625988455,226.2744970059388
'xrba006',7,2901896.7533804937,59.242045836057514,8.2375726990519579e+39,4.9986633542753503e+38,1.2697007084723199e+35,16.479550862344777,425633.25985467248,50.912255285815391,-4.6025698883458972,-4.5906470869667828,-3.9751873393543065,5.4323015122295573,3.2126022714719955,218.14810623405887
'xrba007',0,25579.410923397882,437.71884539612802,1.9019132994905104e+40,1.8527629096480699e+38,1.88328156862976e+35,102.65281594242281,0,2.5403371404621686,-8.6363053424975078,-7.4825876837785472,-3.0367906150931958,0.50868096358651238,39.93421456032975,0.0
'xrba007',1,34002.882023757622,315.60761242034641,6.3338440820255528e+39,9.1219896071376309e+37,2.7996151306909601e+35,69.434896933773587,8425.2141554163718,0.4525973282528073,-7.7261276492572506,-6.5372044796968112,-2.2518469501592335,0.67019606431213541,41.405806624892975,41.225853063247762
'xrba007',2,41773.948052799453,292.8373386061503,6.8193315557171484e+39,1.1338162749567501e+38,2.7734035149050101e+35,60.144943288781732,7769.5327803266919,1.2917878130848723,-7.5070854721125215,-6.5169533079024404,-2.1378677429893287,0.70939720596782552,32.858669813307934,35.30794455449751
'xrba007',3,49495.001906015597,283.27635709376773,5.9169574651783035e+39,9.7397472205634709e+37,2.84118714622568e+35,60.75062659414678,7721.4392282929912,0.6123512431705932,-7.5510901593734161,-6.4540363499472733,-2.1887869052734459,0.70656868576475573,34.54937463241609,40.449590705366859
'xrba007',4,57102.853720915686,282.71951671878196,6.5975730247102014e+39,1.1162181391148699e+38,2.7332898583180101e+35,59.106484597552715,7608.8876476591322,1.2222442858124702,-7.4785532728783437,-6.5038315624187817,-2.1813658909595688,0.70519821183232945,32.48569585890472,35.735518279182671
'xrba007',5,65066.163341923908,287.9234666536795,6.063793279098723e+39,9.6501142535068297e+37,2.8359785497335501e+35,62.836492085004636,7961.8895339454684,0.54388620227891826,-7.6065787677871413,-6.4982053807470948,-2.2836822812168975,0.69366050858520967,36.7469776313674,40.698535676556347
'xrba007',6,72747.421462287268,290.47727120520722,6.6836190931195443e+39,1.09755326847548e+38,2.87143758121199e+35,60.895623794216419,7680.9180931481897,0.43275196701056756,-7.6926733054860961,-6.7366381475731032,-2.6127145974896848,0.70169007836851671,33.158305630846925,35.625268481864801
'xrba007',7,80670.526157380576,288.2428865608963,6.3505537912011434e+39,1.0175788752881001e+38,2.84766953735007e+35,62.408467249314263,7923.4004552299593,1.8722949866175147,-7.4853015289118048,-6.4999838135699974,-2.2615527580055641,0.68647705204878329,33.009717587624152,38.67438449736445
'xrba007',8,88801.114657387443,294.64702406340803,6.5228599199322384e+39,1.04125250837239e+38,2.8478587932846502e+35,62.644362126227165,8131.2579984554468,0.92753789659130104,-7.4963911456870846,-6.4474819083552575,-2.2372684825677425,0.69147605355485653,33.651934301921969,38.640555190600814
'xrba007',9,96407.787693804421,283.92209184875537,5.9627442285396051e+39,1.00552236191187e+38,2.8189360479037399e+35,59.299966409520941,7609.6614258691698,0.19734150606284306,-7.6404543636745075,-6.5378545246348949,-2.1905856145458529,0.71806563128292722,33.359260507769967,39.555082759326311
'xrba007',10,103763.51886844776,271.32936018156761,6.3669403313970308e+39,1.1238486577743899e+38,2.80143571808553e+35,56.653004720455698,7353.2420317762299,1.7609567452769659,-7.3465593775763409,-6.420478717496735,-2.0454762589215534,0.72095497779785211,31.744004518199326,35.793708991470488
'xrba007',11,111210.15572687676,271.65914545998385,5.6697737359280626e+39,9.4645456673561309e+37,2.93598532396926e+35,59.905397841583692,7446.6636220188811,0.81716789188575956,-7.5867889654182363,-6.5218807515193475,-2.2379777935420861,0.69803537909572988,33.79560111345625,40.723315736362345
'xrba007',12,118659.71845572627,284.59725441130286,6.3651287548448532e+39,1.0874000486274799e+38,2.8999399300406599e+35,58.535299523656825,7447.7856464289653,0.92420523601666049,-7.4478418092330685,-6.4546465004677884,-2.0748271716729505,0.70979993955251031,31.006756588874453,36.275767334454173
'xrba007',13,126108.30638737993,277.35489360768406,5.5703187679464731e+39,9.1920307067827295e+37,2.9190382599427e+35,60.599436029257141,7449.3787319332623,0.16068802832813978,-7.9280606983520556,-6.7777327975927619,-2.3714610888855532,0.70278887481511698,34.915176418887995,41.463254811677125
'xrba008',0,5448.9816319655292,516.1451342812943,1.3718095951043724e+40,1.2785287426893899e+38,3.1028707471995702e+35,107.29595270723173,0,1.0146075643641281,-8.2195342771492506,-7.0265202964937998,-2.6512857521938713,0.52109647663944236,52.075059576465186,0.0
'xrba008',1,7431.7986209024602,354.50214499991034,4.7109602131426016e+39,6.1822785226668304e+37,6.3182252773832997e+35,76.201034875252589,1982.5515476986056,2.992257115294167,-7.7676753115629253,-6.7285897435558581,-2.2561293038907024,0.61045849367667615,46.111613185568174,43.349195532613933
'xrba008',2,9435.4840219167363,381.44305424797312,6.1186372827401705e+39,7.5145981004512996e+37,4.8216571625546798e+35,81.423346943500647,2003.7042345762738,-0.68592792543131276,-8.0844941600880702,-6.8198041115447268,-2.2234055970966438,0.63783070056377511,50.839908959275725,33.683209018377525
'xrba008',3,11431.930780508203,375.76277105053123,5.7570983801662257e+39,7.3738304390057597e+37,4.8349050837780098e+35,78.074732363149863,1996.7645170003816,1.0626840052981856,-7.7747516453018761,-6.6908749427984731,-2.0541264642142778,0.66626258201442101,46.665778572558381,35.674947787398985
'xrba008',4,13380.648039145661,367.66859631002808,5.3300537427670159e+39,6.8667116673626799e+37,4.84180076810769e+35,77.62163319162849,1950.5343775419551,1.2897320333601179,-8.4583119242743123,-7.1988530946091487,-2.4092669015044521,0.66086583153732015,48.019377505146267,37.641340306907253
'xrba008',5,15348.850726271152,376.98596506704234,5.7492804929824948e+39,7.42298476284779e+37,4.7659406080140097e+35,77.452408655851968,1968.0323268536831,0.27663177183493376,-8.083821358415662,-6.9302535908300342,-2.2988709954788646,0.64880255254090913,47.957712841854175,35.20705977507189
'xrba008',6,17307.035900209587,374.2817525772407,5.4897470859242624e+39,7.0215427037526899e+37,4.8594878791199901e+35,78.184343776621148,1957.4223448506291,-0.15350482692513759,-8.1749070368678076,-6.8456129260594025,-2.17013306064473,0.64671640137130249,45.779149132656713,36.67606474736111
'xrba008',7,19233.147202324282,366.53257844095424,5.3924935394815085e+39,7.0473337803404701e+37,4.8453993793124099e+35,76.51820826941146,1925.3238970621205,1.1741237420975297,-7.9049452365325124,-6.8247598622001533,-2.1579338207375258,0.64068121501191477,45.892643390904475,36.724741315565133
'xrba008',8,21175.192854172983,370.83645184086345,5.5738985890842638e+39,7.2127442096455999e+37,4.8883468086650898e+35,77.278473034303531,1943.8863143016715,0.36815166554911255,-8.0533700074374792,-6.8992066586688452,-2.197988010768313,0.65106145991952302,48.854364082735302,35.873562691706027
'xrba008',9,23116.39570504885,367.84863875474184,5.5315313071284353e+39,7.0251057761042502e+37,4.9341070354900801e+35,78.739473588338313,1940.0985415587747,0.96639284402056325,-8.1215189253816789,-7.0870173279072333,-2.6450440461812832,0.66287306447144356,46.92737826702178,36.079494537296419
'xrba008',10,25013.537253612445,361.62489276967972,5.39248245674687e+39,7.1240982175477897e+37,4.8463168142601497e+35,75.693544531212751,1900.3797856002966,-0.217625404140774,-8.3836091286430019,-7.0573794128322334,-2.3614189672480279,0.66569412775523018,46.150733444736453,36.249049740923354
